"Freq"	"Normalized_Count"	"Log_Count"
"ENSMUSG00000100078.1"	5	74.0057468334072	6.22892923196828
"ENSMUSG00000100104.1"	3	63.6189753480168	6.01388596910477
"ENSMUSG00000100441.1"	3	44.1437788129096	5.49645528095077
"ENSMUSG00000100701.1"	1	12.9834643567381	3.80564992277629
"ENSMUSG00000100801.1"	3	446.631173871791	8.80616670156748
"ENSMUSG00000101188.1"	1	320.691569611431	8.32953431836983
"ENSMUSG00000101795.2"	19	373.923773474058	8.55045349789129
"ENSMUSG00000102550.1"	2	64.9173217836906	6.04258572199768
"ENSMUSG00000102888.1"	4	41.547085941562	5.41098841970991
"ENSMUSG00000104623.1"	5	59.7239360409953	5.92419340215563
"ENSMUSG00000104699.1"	6	99.9726755468835	6.65782112447051
"ENSMUSG00000104802.1"	3	89.585904061493	6.50121466698297
"ENSMUSG00000105646.1"	2	16.8785036637595	4.16015409051322
"ENSMUSG00000105879.1"	3	215.525508321853	7.7583931849884
"ENSMUSG00000106037.1"	1	878.98053695117	9.78132780493995
"ENSMUSG00000106106.2"	2	6442.39501381345	12.6536053268839
"ENSMUSG00000106258.1"	1	25.9669287134762	4.75311931604751
"ENSMUSG00000106895.1"	1	28.5636215848238	4.88575110734934
"ENSMUSG00000106926.1"	3	89.585904061493	6.50121466698297
"ENSMUSG00000107176.1"	1	1172.40683141345	10.1964875809809
"ENSMUSG00000107383.1"	3	533.620385061937	9.0623710383304
"ENSMUSG00000108366.1"	1	71.4090539620596	6.17809819674685
"ENSMUSG00000110275.1"	5	455.719598921508	8.83516489028621
"ENSMUSG00000110834.1"	1	37.6520466345405	5.27247290208609
"ENSMUSG00000110841.1"	1	70.1107075263858	6.15199490553567
"ENSMUSG00000111594.1"	3	33.7570073275191	5.1192319624362
"ENSMUSG00000111875.1"	1	37.6520466345405	5.27247290208609
"ENSMUSG00000111877.1"	2	59.7239360409953	5.92419340215563
"ENSMUSG00000111897.1"	5	55.8288967339739	5.82855280232526
"ENSMUSG00000111966.1"	3	29.8619680204977	4.94775815818561
"ENSMUSG00000112099.1"	1	124.641257824686	6.97316648111469
"ENSMUSG00000112825.1"	2	55.8288967339739	5.82855280232526
