"","Naive_Control_Rep_1","Naive_Control_Rep_2","Naive_Control_Rep_3","Naive_DEX_Rep_1","Naive_DEX_Rep_2","Naive_DEX_Rep_3"
"ENSMUSG00000001419.17",3448.19816394743,3979.56794092277,3365.85923339307,3640.36480497303,3924.06020727176,3852.1938746442
"ENSMUSG00000001420.13",15.6878897358846,22.5447617299444,19.894922927095,1.89355776591575,11.9111439681099,16.8785036637595
"ENSMUSG00000001424.14",2372.79332255254,2202.70672013308,2492.2912539579,2249.54662590791,2399.43377935369,2074.75760420675
"ENSMUSG00000001435.15",0.784394486794229,2.50497352554937,2.71294403551296,12.3081254784524,3.9703813227033,2.59669287134762
"ENSMUSG00000001436.15",306.698244336543,361.551178854293,350.874095259676,288.767559302152,350.717016838791,318.094876740084
"ENSMUSG00000001440.5",6615.58310162252,5688.79487652262,5990.18043041261,6446.61741406018,6171.29603592182,5924.3547859796
"ENSMUSG00000001441.13",1158.55065699508,992.804507292735,992.033202319238,1326.43721502398,1075.97333845259,1245.11423181119
"ENSMUSG00000001444.2",222.768034249561,387.43590528497,228.791613661593,126.868370316355,162.785634230835,118.149525646317
"ENSMUSG00000001445.10",640.065901224091,671.332904847232,657.43677127264,586.056128550925,584.969514878286,563.482353082434
"ENSMUSG00000001467.5",295.716721521424,273.877105460065,348.161151224163,296.341790365815,292.484757439143,423.260938029662
"ENSMUSG00000001472.17",4256.90887983228,5554.36129731814,5024.37235376999,4836.14653414883,5064.88310732851,5168.71716041744
"ENSMUSG00000001473.7",32.1601739585634,34.2346381825081,33.4596431046598,35.9775975523993,35.7334319043297,28.5636215848238
"ENSMUSG00000001482.15",360.821463925345,326.481549496602,390.663941113866,292.554674833984,316.307045375363,277.846137234196
"ENSMUSG00000001506.10",15.6878897358846,12.5248676277469,7.23451742803455,5.68067329774726,25.1457483771209,7.79007861404287
"ENSMUSG00000001507.16",14.9034952490903,29.2246911314093,18.0862935700864,17.0420198932418,6.61730220450549,14.2818107924119
"ENSMUSG00000001517.14",72.164292785069,124.413685102285,119.36953756257,115.507023720861,125.728741885604,153.20487940951
"ENSMUSG00000001518.12",291.794749087453,319.801620095137,315.605822798007,242.375394037216,332.188570666176,276.547790798522
"ENSMUSG00000001520.12",25.1006235774153,28.3896999562262,32.5553284261555,34.0840397864835,17.2049857317143,28.5636215848238
"ENSMUSG00000001521.12",236.887135011857,216.262714372429,271.294403551296,279.299770472573,203.812907898769,273.951097927174
"ENSMUSG00000001524.14",232.965162577886,232.127546700909,265.86851548027,162.845967868755,189.254843048857,181.768500994334
"ENSMUSG00000001525.10",16194.6085743536,12773.6949979514,14380.4120175757,16872.5464731923,16310.3264736651,14671.3147231141
"ENSMUSG00000001542.7",23.5318346038269,35.9046205328743,122.082481598083,65.3277429240935,68.8199429268571,64.9173217836906
"ENSMUSG00000001552.14",34.5133574189461,70.1392587153824,46.1200486037202,21.7759143080312,29.1161296998242,28.5636215848238
"ENSMUSG00000001555.10",1.56878897358846,15.0298411532962,3.61725871401727,2.84033664887363,1.3234604409011,2.59669287134762
"ENSMUSG00000001558.5",7.84394486794229,16.6998235036625,10.8517761420518,6.62745218070513,9.26422308630769,11.6851179210643
"ENSMUSG00000001569.10",936.567017232309,837.496148708674,980.277111498681,1084.06182098677,944.950754803385,940.002819427839
"ENSMUSG00000001576.15",488.677765272804,398.29079056235,481.095408964298,446.879632756118,492.327284015209,477.791488327963
"ENSMUSG00000001588.12",4405.15943783639,6749.23366900519,5990.18043041261,4969.64235664589,5430.15818901721,6051.59273667564
"ENSMUSG00000001627.12",678.501231077008,547.754210920129,614.933981382937,833.165417002931,729.226702936505,785.499593582656
"ENSMUSG00000001630.13",196.098621698557,237.137493752007,233.313187054114,220.599479729185,207.783289221473,242.790783471003
"ENSMUSG00000001632.16",1189.92643646684,1148.94785705198,1177.41771141262,1207.14307577129,1185.82055504738,1159.42336705671
